Measure,OnTheSunnySideOfTheStreet_II,Time
1,Gb7(b9),0.0
2,Cmaj7,2.0
3,E7,4.0
4,Fma7,6.0
5,G7,8.0
5,G#dim7,9.0
6,Amin7,10.0
7,D7,12.0
8,Dmin7,14.0
9,G7,16.0
10,Cmaj7,18.0
11,E7,20.0
12,Fmaj7,22.0
13,G7,24.0
13,G#dim7,25.0
14,Amin7,26.0
15,D7,28.0
16,Dmin7,30.0
16,G7,31.0
17,Cmaj7,32.0
18,Gmin7,34.0
19,C7,36.0
20,Fma7,38.0
21,Fmaj7,40.0
22,D7,42.0
23,D7,44.0
24,Dmin7,46.0
25,G7,48.0
26,Cmaj7,50.0
27,E7,52.0
28,Fmaj7,54.0
29,G7,56.0
29,G#dim,57.0
30,Amin7,58.0
31,D7,60.0
32,Dmin7,62.0
32,G7,63.0
33,Cmaj7,64.0
33,Dbmaj7,65.0
34,Cmaj7,66.0
35,E7,68.0
