Measure,OneManSection,Time
1,Dmin7,0.0
2,G7,2.0
3,Dmin7,4.0
4,Dmin7,6.0
5,Gmin7,8.0
6,Gmin7,10.0
7,Dmin7,12.0
8,Dmin7,14.0
9,Emin7,16.0
9,A7,17.0
10,Fmin7,18.0
10,Bb9,19.0
11,Ebmin,20.0
11,Ab7,21.0
12,Emin7,22.0
12,A7,23.0
13,Ebmin7,24.0
14,Gbmin7,26.0
14,B7,27.0
15,D,28.0
16,Dmaj7,30.0
17,Dmin7,32.0
18,G7,34.0
19,Dmin7,36.0
20,Ebmin7,38.0
21,Dmin7,40.0
22,G7,42.0
23,Bbmaj7,44.0
24,Emin7,46.0
24,A7,47.0
25,Dmin7,48.0
26,B13,50.0
27,Bb7,52.0
28,Emin7,54.0
28,A7,55.0
29,Dmin7,56.0
30,F#dim,58.0
31,Emin7,60.0
32,A7,62.0
33,Dmin7,64.0
34,Dmin7,66.0
35,G7,68.0
36,G7,70.0
37,Dmin7,72.0
38,Dmin7,74.0
39,G7,76.0
40,G7,78.0
41,Asus,80.0
42,Gbsus,82.0
43,D9,84.0
44,Gb13,86.0
45,Dmin7,88.0
46,Dmin7,90.0
47,G7,92.0
48,G7,94.0
49,Dmin7,96.0
50,Dmin7,98.0
51,Ebmaj6,100.0
52,Dmin,102.0
53,Dmin,104.0
54,Bbmin7,106.0
55,A7,108.0
56,Dmin,110.0
57,Emin7,112.0
57,A7,113.0
58,Fmin7,114.0
58,Bb7,115.0
59,Ebmin7,116.0
60,Ab7,118.0
61,Cmin7,120.0
62,Bbmaj7,122.0
63,Dmin7,124.0
64,Eb,126.0
65,Emin7,128.0
66,Bbmaj7,130.0
67,B13,132.0
68,B13,134.0
69,Emin7,136.0
70,Bbmaj7,138.0
71,Eb,140.0
72,Eb,142.0
73,Emin7,144.0
74,Bb,146.0
75,Gmaj,148.0
76,G,150.0
76,Bmin7,151.0
77,A7,152.0
78,Bbmaj7,154.0
78,A7,155.0
79,Dmin7,156.0
80,Dmin7,158.0
