Measure,OneMintJulep,Time
1,E-1,0.0
2,A-17,2.0
3,E-17,4.0
4,A-17,6.0
5,E-17,8.0
6,A-17,10.0
7,E-17,12.0
8,A-17,14.0
9,B-17,16.0
10,A-1maj7,18.0
11,E-17,20.0
11,A-17,21.0
12,E-1,22.0
12,B-19,23.0
13,E-1,24.0
13,A-1,25.0
14,E-1,26.0
15,G7,28.0
17,G-17,32.0
19,F7,36.0
21,B-17,40.0
21,Cmin7,41.0
22,B-17/D,42.0
23,E-1,44.0
24,A-17,46.0
25,E-1,48.0
26,A-17,50.0
27,E-17,52.0
28,A-17,54.0
29,E-17,56.0
30,A-17,58.0
31,B-17,60.0
32,A-1maj7,62.0
33,E-1,64.0
33,A-1,65.0
34,E-1,66.0
35,G7,68.0
37,G-17,72.0
39,F7,76.0
41,B-17,80.0
43,E-1,84.0
43,B-17,85.0
