Measure,OneShiningSoul,Time
1,D-1/G-1,0.0
1,Fmin7,1.0
2,Emaj7,2.0
2,D17,3.0
3,E/D,4.0
3,D-1,4.666666666666667
3,B9,5.333333333333333
4,D17,6.0
4,G1sus,7.0
6,F1min7,10.0
6,B7,11.0
7,Emaj7,12.0
7,Dmaj13,12.666666666666666
7,C1min7,13.333333333333334
8,Fmaj7,14.0
8,Cmaj7,15.0
9,F1min7,16.0
9,Cmaj7,17.0
10,Cmaj9,18.0
10,B9,19.0
11,E9,20.0
11,Cmaj9,20.666666666666668
11,Amin7,21.333333333333332
12,Gmaj7,22.0
12,F17,23.0
13,B9,24.0
13,E9,25.0
14,E9,26.0
15,E9,28.0
15,Fmin,29.0
16,G-1maj,30.0
16,D-17,31.0
17,D19,32.0
17,G17,33.0
18,G-1maj7,34.0
18,D-17,35.0
19,D19,36.0
19,G17,37.0
20,G-1maj7,38.0
20,Fmin7,39.0
21,Emaj7,40.0
21,D17,41.0
22,Dmaj7,42.0
22,D-17,43.0
23,B-1min7,44.0
23,D19,45.0
24,G1sus,46.0
24,Dmaj7,46.666666666666664
24,D-17,47.333333333333336
25,B-1min7,48.0
25,G17,49.0
26,F1min7,50.0
26,B7,51.0
27,Emaj7,52.0
27,Dmaj7,53.0
28,C1min7,54.0
29,F1min7,56.0
29,Cmaj7,57.0
30,Cmaj9,58.0
30,B9,59.0
31,Emaj7,60.0
31,Cmaj7,60.666666666666664
31,Amin7,61.333333333333336
32,F17,62.0
33,B9,64.0
33,E9,65.0
34,E9,66.0
35,G-1maj,68.0
35,D-17,69.0
36,D19,70.0
36,G17,71.0
37,G-1maj7,72.0
37,D-17,73.0
38,D19,74.0
38,G17,75.0
39,G-1maj7,76.0
39,Fmin7,77.0
40,Emaj7,78.0
40,D17,79.0
41,Dmaj7,80.0
41,D-17,81.0
42,B-1min7,82.0
42,D19,82.66666666666667
42,G17,83.33333333333333
43,Cmin7,84.0
43,Fmin7,85.0
44,B-1min7,86.0
44,D17,87.0
45,G1maj7,88.0
45,D-1maj7,89.0
46,G7,90.0
46,C7,91.0
47,Fmin7,92.0
47,B-1min7,93.0
48,D17,94.0
48,G1maj7,95.0
49,C1min7,96.0
49,F7,97.0
50,F1min7,98.0
50,B7,99.0
51,Emaj9,100.0
51,Dmaj13,101.0
52,C1min7,102.0
52,Cmaj7,103.0
53,Fmaj7,104.0
53,F1min7,105.0
54,Cmaj9,106.0
54,B9,107.0
55,Emaj7,108.0
55,Cmaj9,109.0
56,Amin7,110.0
56,Gmaj7,111.0
57,F17,112.0
57,B9,113.0
58,Emaj9,114.0
58,B9,115.0
59,Emaj7,116.0
60,G-1maj,118.0
60,D-17,119.0
61,D19,120.0
61,G17,121.0
62,G-1maj7,122.0
62,D-17,123.0
63,D19,124.0
63,G17,125.0
64,G-1maj7,126.0
64,Fmin7,127.0
65,Emaj7,128.0
65,D17,129.0
66,Dmaj7,130.0
66,D-17,131.0
67,B-1min7,132.0
67,D19,132.66666666666666
67,G17,133.33333333333334
68,G-1maj,134.0
68,D-17,135.0
69,D19,136.0
69,G17,137.0
70,G-1maj,138.0
70,D-17,139.0
71,D19,140.0
71,G17,141.0
