Measure,PingPong,chord_note,Time
1,Bb13,Bb,0.0
2,B13,B,2.0
3,Bb13,Bb,4.0
4,B13,B,6.0
5,Bb13,Bb,8.0
6,B13,B,10.0
7,Bb13,Bb,12.0
8,B13,B,14.0
9,Bb13,Bb,16.0
10,B13,B,18.0
11,Bb13,Bb,20.0
12,B13,B,22.0
13,Dbmaj7,Db,24.0
14,Cmin7,C,26.0
14,F7,F,27.0
15,Bbmaj7,Bb,28.0
16,Abmaj7,Ab,30.0
17,G7,G,32.0
18,Gbmaj7,Gb,34.0
19,Fmin7,F,36.0
19,Bb7,Bb,37.0
20,Ebmaj7,Eb,38.0
21,D7,D,40.0
22,Dbmaj7,Db,42.0
23,Cmin7,C,44.0
24,F7,F,46.0
25,F7,F,48.0
26,Bbmin7,Bb,50.0
27,Eb7,Eb,52.0
28,Abma7,Ab,54.0
29,Gbmaj7,Gb,56.0
30,Fmin7,F,58.0
31,Bb7,Bb,60.0
32,F#min7,F#,62.0
33,B7,B,64.0
34,Bb13,Bb,66.0
35,B13,B,68.0
36,Bb13,Bb,70.0
37,B13,B,72.0
38,Bb13,Bb,74.0
39,B13,B,76.0
40,Bb13,Bb,78.0
41,B13,B,80.0
