Measure,Recado Bossa Nova,Time
1,Gmin7,0.0
9,Gmin7,16.0
10,Gmin7,18.0
11,D7,20.0
12,D7(#9),22.0
13,Dmin7(b5),24.0
14,G7,26.0
15,Cmin7,28.0
16,Cmin7,30.0
17,Amin7,32.0
18,D7,34.0
19,Gmin7,36.0
20,Gmin7,38.0
21,A7,40.0
22,A7,42.0
23,D7,44.0
24,D7(#9),46.0
25,Gmin7,48.0
26,Gmin7,50.0
27,D7,52.0
28,D7,54.0
29,Dmin7(b5),56.0
30,G7,58.0
31,Cmin7,60.0
32,Cmin,62.0
33,Amin7,64.0
34,D7,66.0
35,Gmin7,68.0
36,Gmin7,70.0
37,Ab7(#9),72.0
38,D7,74.0
39,Gmin7,76.0
40,Gmin7,78.0
41,G7,80.0
42,G7,82.0
43,Cmin7,84.0
44,Cmin7,86.0
45,A7,88.0
46,A7,90.0
47,Dmin7,92.0
48,D7,94.0
49,Gmin7,96.0
50,Gmin7,98.0
51,D7,100.0
52,D7,102.0
53,Dmin7(b5),104.0
54,G7,106.0
55,Cmin7,108.0
56,Cmin,110.0
57,Amin7,112.0
58,D7,114.0
59,Gmin7,116.0
60,Gmin7,118.0
61,A7,120.0
62,A7,122.0
63,D7,124.0
64,D7,126.0
