Measure,Recordame,Time
1,Cmaj7,0.0
2,Dmaj7,2.0
3,Cmaj7,4.0
4,Dmaj7,6.0
5,Cmaj7,8.0
6,Dmaj,10.0
7,Fmaj7,12.0
8,Dmin7,14.0
9,Fmaj7,16.0
9,Dmin7,16.666666666666668
9,Fmaj7,17.333333333333332
11,Amin7,20.0
15,Cmin7,28.0
18,Cmin7,34.0
18,F7,35.0
19,B-1maj7,36.0
20,B-1min7,38.0
20,E-17,39.0
21,A-1maj7,40.0
22,A-1min7,42.0
22,D-17,43.0
23,G-1maj7,44.0
24,Gmin7,46.0
24,C7,47.0
25,Fmaj7,48.0
26,E7,50.0
27,E7,52.0
30,Amin7,58.0
34,Cmin7,66.0
37,F7,72.0
38,B-1maj7,74.0
39,B-1min7,76.0
39,E-17,77.0
40,A-1maj7,78.0
41,A-1min7,80.0
41,D-17,81.0
42,G-1maj7,82.0
43,Gmin7,84.0
43,C7,85.0
44,Fmaj7,86.0
44,E7,87.0
