Measure,Red Clay C#,chord_note,Time
1,C#min7,C#,0.0
2,A7,A,2.0
3,G#7,G#,4.0
4,C#min7,C#,6.0
9,C#min7,C#,16.0
10,Bmin7,B,18.0
11,D7,D,20.0
11,E7,E,21.0
12,F#7,F#,22.0
12,G#7,G#,23.0
13,F#7,F#,24.0
13,G#7,G#,25.0
14,C#min7,C#,26.0
15,Bmin7,B,28.0
16,D7,D,30.0
16,E7,E,31.0
17,F#7,F#,32.0
17,G#7,G#,33.0
18,C#min7,C#,34.0
19,Bmin7,B,36.0
20,D7,D,38.0
20,E7,E,39.0
21,F#7,F#,40.0
21,G#7,G#,41.0
22,F#7,F#,42.0
22,G#7,G#,43.0
23,C#min7,C#,44.0
24,Bmin7,B,46.0
25,D7,D,48.0
25,E7,E,49.0
26,F#7,F#,50.0
26,G#7,G#,51.0
27,F#7,F#,52.0
27,G#7,G#,53.0
28,C#min7,C#,54.0
29,Bmin7,B,56.0
30,D7,D,58.0
30,E7,E,59.0
31,F#7,F#,60.0
31,G#7,G#,61.0
32,C#min7,C#,62.0
33,Bmin7,B,64.0
34,D7,D,66.0
34,E7,E,67.0
35,F#7,F#,68.0
35,G#7,G#,69.0
36,C#min7,C#,70.0
37,Bmin7,B,72.0
37,E7,E,73.0
38,Amaj7,A,74.0
39,D#min7,D#,76.0
39,G#7,G#,77.0
40,C#min7,C#,78.0
41,Bmin7,B,80.0
42,D7,D,82.0
42,E7,E,83.0
43,F#7,F#,84.0
43,G#7,G#,85.0
44,C#min7,C#,86.0
