Measure,Remember,chord_note,Time
1,Dbmaj7,Db,0.0
2,C7,C,2.0
3,B7,B,4.0
4,Bb7,Bb,6.0
5,Bbmin7,Bb,8.0
6,Eb7,Eb,10.0
7,Abmaj7,Ab,12.0
8,Ebmin7,Eb,14.0
8,Ab7,Ab,15.0
9,Dbmaj7,Db,16.0
10,C7,C,18.0
11,B7,B,20.0
12,Bb7,Bb,22.0
13,Bbmin7,Bb,24.0
14,Eb7,Eb,26.0
15,Abmaj7,Ab,28.0
16,Ebmin7,Eb,30.0
16,Ab7,Ab,31.0
17,Dbmaj7,Db,32.0
19,Dbmin7,Db,36.0
20,Gb7,Gb,38.0
21,Abmaj7,Ab,40.0
23,Gmin7,G,44.0
24,C7,C,46.0
25,Dbmaj7,Db,48.0
26,C7,C,50.0
27,B7,B,52.0
28,Bb7,Bb,54.0
29,Bbmin7,Bb,56.0
30,Eb7,Eb,58.0
31,Db,Db,60.0
31,Abmaj7,Ab,61.0
32,Ebmin7,Eb,62.0
32,Ab7,Ab,63.0
