Measure,RioFunk,chord_note,Time
3,Bb,Bb,4.0
13,Gmin7,G,24.0
14,C9,C,26.0
15,Gmin7,G,28.0
16,C7,C,30.0
17,Gmin,G,32.0
18,C7,C,34.0
19,Gmin7,G,36.0
20,C7,C,38.0
21,Gmin7,G,40.0
22,C7,C,42.0
23,Gmin7,G,44.0
24,C7,C,46.0
25,Gmin7,G,48.0
26,C7,C,50.0
27,Gmin7,G,52.0
28,Bbmaj9,Bb,54.0
28,Bmaj9,B,54.666666666666664
28,Cmaj9,C,55.333333333333336
29,Bmin9,B,56.0
30,Emin9,E,58.0
31,Bmin7,B,60.0
32,Emin7,E,62.0
33,Gmaj7/A,G,64.0
34,F#7,F#,66.0
35,Bmin7,B,68.0
36,Emin7,E,70.0
37,Bmin7,B,72.0
38,Emin7,E,74.0
39,Bmin7,B,76.0
40,Emin7,E,78.0
41,Gmaj7,G,80.0
43,Bmin7,B,84.0
44,C,C,86.0
45,F/G,F,88.0
46,C9,C,90.0
46,C#9,C#,90.66666666666667
46,D9,D,91.33333333333333
48,Bb,Bb,94.0
54,Gmin7,G,106.0
55,C7,C,108.0
