Measure,Room335,chord_note,Time
1,Dmaj7,D,0.0
1,C#min13,C#,1.0
2,Bmin7,B,2.0
2,C#min7,C#,3.0
3,Dmaj7,D,4.0
3,C#min7,C#,5.0
4,Bmin7,B,6.0
4,Amaj7,A,6.666666666666667
4,Eb7,Eb,7.333333333333333
5,Bmin7,B,8.0
5,Amaj7,A,8.666666666666666
5,Eb7,Eb,9.333333333333334
6,Dmaj,D,10.0
6,C#min7,C#,11.0
7,Bmin7,B,12.0
7,C#min7,C#,13.0
8,Dmaj7,D,14.0
8,C#min7,C#,15.0
9,Bmin7,B,16.0
9,Amaj7,A,16.666666666666668
9,Eb7,Eb,17.333333333333332
10,Dmaj7,D,18.0
10,C#min7,C#,19.0
11,Bmin7,B,20.0
11,C#min7,C#,21.0
12,Dmaj7,D,22.0
12,C#min7,C#,23.0
13,Bmin7,B,24.0
13,Amaj7,A,25.0
14,Fmaj7,F,26.0
14,Emin7,E,27.0
15,Dmin7,D,28.0
15,Emin7,E,29.0
16,Fmaj7,F,30.0
16,Emin7,E,31.0
17,Dmin7,D,32.0
17,E7,E,33.0
18,Dmaj7,D,34.0
18,C#min7,C#,35.0
19,Bmin7,B,36.0
19,C#min7,C#,37.0
20,Dmaj7,D,38.0
20,D#dim7,D#,38.666666666666664
20,E7,E,39.333333333333336
21,Fmaj7,F,40.0
21,F#dim7,F#,40.666666666666664
21,G7,G,41.333333333333336
22,Gmaj7,G,42.0
22,G#dim7,G#,42.666666666666664
22,A7,A,43.333333333333336
24,Dmaj7,D,46.0
25,F#7,F#,48.0
26,Bmin7,B,50.0
26,Bbmin7,Bb,51.0
27,Amin7,A,52.0
27,D7,D,53.0
28,Gmaj7,G,54.0
28,G#dim7,G#,54.666666666666664
28,C#7,C#,55.333333333333336
29,F#min9,F#,56.0
29,B7,B,57.0
30,Emaj7,E,58.0
30,F#min9,F#,59.0
31,Gmin7,G,60.0
31,C9,C,60.666666666666664
31,C#9,C#,61.333333333333336
32,Dmaj7,D,62.0
33,F#7,F#,64.0
34,Bmin7,B,66.0
34,Bbmin7,Bb,67.0
35,Amin7,A,68.0
35,D7,D,69.0
36,Gmaj7,G,70.0
36,G#dim7,G#,70.66666666666667
36,C#7,C#,71.33333333333333
37,F#min7,F#,72.0
37,B7,B,73.0
38,Emin7,E,74.0
38,A7,A,75.0
39,Gmaj7,G,76.0
39,F#dim7,F#,77.0
40,Emin7,E,78.0
40,Dmaj7,D,79.0
41,Dmaj7,D,80.0
41,C#min7,C#,81.0
42,Bmin7,B,82.0
42,Amaj7,A,82.66666666666667
42,Eb7,Eb,83.33333333333333
