Measure,SatinDoll,Time
1,Dmin7,0.0
1,G7,1.0
2,Dmin7,2.0
2,G7,3.0
3,Emin7,4.0
3,A7,5.0
4,Emin7,6.0
4,A7,7.0
5,Amin7,8.0
5,D7,9.0
6,Abmin7,10.0
6,Db7,11.0
7,Cmaj7,12.0
7,Dmin7,13.0
8,Emin7,14.0
8,A7,15.0
9,Cmaj7,16.0
11,Gmin7,20.0
11,C7,21.0
12,Gmin7,22.0
12,C7,23.0
13,Fmaj7,24.0
15,Amin7,28.0
15,D7,29.0
16,Amin7,30.0
16,D7,31.0
17,G7,32.0
17,Dmin7,33.0
18,G7,34.0
19,Dmin7,36.0
19,G7,37.0
20,Dmin7,38.0
20,G7,39.0
21,Emin7,40.0
21,A7,41.0
22,Emin7,42.0
22,A7,43.0
23,Amin7,44.0
23,D7,45.0
24,Abmin7,46.0
24,Db7,47.0
25,Cmaj7,48.0
25,Dmin7,49.0
26,Emin7,50.0
26,A7,51.0
