Measure,Selma,Time
2,G7,2.0
3,C9,4.0
4,D7,6.0
5,G7,8.0
6,D7,10.0
7,G7,12.0
8,G7,14.0
8,C9,15.0
9,Fmaj7,16.0
9,E7,16.666666666666668
9,A7,17.333333333333332
10,D7,18.0
11,G7,20.0
12,D7,22.0
13,G7,24.0
13,G7,25.0
14,C7,26.0
15,C7,28.0
16,G7,30.0
17,G7,32.0
18,C7,34.0
19,D7,36.0
20,C7,38.0
21,G7,40.0
22,G7,42.0
22,C7,42.666666666666664
22,G7,43.333333333333336
23,G7,44.0
24,G7,46.0
24,C7,46.666666666666664
24,G7,47.333333333333336
25,G7,48.0
26,G7,50.0
26,C7,50.666666666666664
26,G7,51.333333333333336
27,G7,52.0
28,G7,54.0
28,C7,54.666666666666664
28,G7,55.333333333333336
