Measure,SingASongOfSong,chord_note,Time
1,E,E,0.0
3,Cmaj7,C,4.0
5,D7,D,8.0
7,E,E,12.0
9,E,E,16.0
11,Cmaj7,C,20.0
13,D7,D,24.0
15,E,E,28.0
18,E,E,34.0
20,Cmaj7,C,38.0
22,D7,D,42.0
24,E,E,46.0
27,E,E,52.0
29,Cmaj7,C,56.0
31,D7,D,60.0
33,E,E,64.0
35,C#min11,C#,68.0
36,Bmaj7/D#,B,70.0
38,C#min7,C#,74.0
39,Bmajor(09),B,76.0
41,C#min11,C#,80.0
42,Bmaj7/D#,B,82.0
44,C#min7,C#,86.0
45,B9,B,88.0
46,E9,E,90.0
47,B9/F#,B,92.0
48,Bmaj7,B,94.0
49,Gmaj7,G,96.0
50,Bb7/D#,Bb,98.0
51,G7/F,G,100.0
52,E,E,102.0
54,Cmaj7,C,106.0
56,D7,D,110.0
58,E,E,114.0
60,E,E,118.0
62,Cmaj7,C,122.0
64,D7,D,126.0
66,E,E,130.0
