Measure,SirDuke,chord_note,Time
1,B,B,0.0
5,Bmaj7,B,8.0
6,G#min7,G#,10.0
7,G7,G,12.0
7,F#sus,F#,13.0
8,F#7,F#,14.0
9,Bmaj7,B,16.0
10,G#min7,G#,18.0
11,G7,G,20.0
12,F#7,F#,22.0
12,F7,F,23.0
13,E9,E,24.0
13,D#9,D#,24.5
13,D9,D,25.0
13,Db9,Db,25.5
14,D9,D,26.0
14,D#9,D#,26.666666666666668
14,E9,E,27.333333333333332
15,E9,E,28.0
15,D#9,D#,28.5
15,D9,D,29.0
15,Db9,Db,29.5
16,D9,D,30.0
16,D#9,D#,30.333333333333332
16,E9,E,30.666666666666668
16,F9,F,31.0
16,F#9,F#,31.333333333333332
16,B,B,31.666666666666668
17,Bmaj7,B,32.0
18,Fmin7,F,34.0
19,Emaj7,E,36.0
19,D#min7,D#,37.0
20,C#min7,C#,38.0
20,F#sus,F#,39.0
21,Bmaj7,B,40.0
22,Fmin7,F,42.0
23,Emaj7,E,44.0
23,D#min7,D#,45.0
24,C#min7,C#,46.0
24,F#sus,F#,47.0
25,B,B,48.0
