Measure,SirDukeII,Time
1,Eb,0.0
5,Ebmaj7,8.0
6,Cmin7,10.0
7,B7,12.0
7,Bbsus,13.0
8,Bb7,14.0
9,Ebmaj7,16.0
10,Cmin7,18.0
11,B7,20.0
12,Bb7,22.0
12,A7,23.0
13,Ab9,24.0
13,G9,24.5
13,Gb9,25.0
13,F9,25.5
14,Gb9,26.0
14,G9,26.666666666666668
14,Ab9,27.333333333333332
15,Ab9,28.0
15,G9,28.5
15,Gb9,29.0
15,F9,29.5
16,Gb9,30.0
16,G9,30.333333333333332
16,Ab9,30.666666666666668
16,A9,31.0
16,Bb9,31.333333333333332
16,Eb,31.666666666666668
17,Ebmaj7,32.0
18,Amin7,34.0
19,Abmaj7,36.0
19,Gmin7,37.0
20,Fmin7,38.0
20,Bbsus,39.0
21,Ebmaj7,40.0
22,Amin7,42.0
23,Abmaj7,44.0
23,Gmin7,45.0
24,Fmin7,46.0
24,Bbsus,47.0
25,Eb,48.0
