Measure,SoftImpressions,chord_note,Time
1,Amin7,A,0.0
1,C/G,C,1.0
2,F7,F,2.0
2,E7,E,3.0
3,Amin7,A,4.0
3,C/G,C,5.0
4,F7,F,6.0
4,E7,E,7.0
5,Amin7,A,8.0
5,C/G,C,9.0
6,F7,F,10.0
6,E7,E,11.0
7,Amin7,A,12.0
7,C/G,C,13.0
8,F7,F,14.0
8,E7,E,15.0
9,Amin7,A,16.0
9,C/G,C,17.0
10,C/F#,C,18.0
10,F7,F,19.0
11,Amin7,A,20.0
11,D7,D,21.0
12,A7,A,22.0
12,Bb7,Bb,22.666666666666668
12,A7,A,23.333333333333332
13,Dmin7,D,24.0
13,C/C,C,25.0
14,Bmin7,B,26.0
14,Bb7,Bb,27.0
15,Amin7,A,28.0
15,D7,D,29.0
16,C#min7,C#,30.0
16,F#7,F#,31.0
17,F7,F,32.0
17,E7,E,33.0
18,Dmin7,D,34.0
18,E7,E,35.0
19,Amin7,A,36.0
19,C/G,C,37.0
20,F7,F,38.0
20,E7,E,39.0
21,Amin7,A,40.0
22,F7,F,42.0
22,E7,E,43.0
23,Amin7,A,44.0
24,Bmin7,B,46.0
24,E7,E,47.0
25,Amin7,A,48.0
26,Amin7,A,50.0
26,A7,A,51.0
27,Dmin7,D,52.0
27,C/C,C,53.0
28,Bminor-seventh(b5),B,54.0
28,E7,E,55.0
29,Amin7,A,56.0
29,D7,D,57.0
30,C#min7,C#,58.0
30,F#7,F#,59.0
31,F7,F,60.0
32,E7,E,62.0
33,Amin7,A,64.0
33,C/G,C,65.0
34,F7,F,66.0
34,E7,E,67.0
35,Amin,A,68.0
35,C/G,C,69.0
36,F7,F,70.0
36,E7,E,71.0
37,Amin7,A,72.0
37,C/G,C,73.0
38,F7,F,74.0
38,E7,E,75.0
39,Amin7,A,76.0
39,C/G,C,77.0
40,F7,F,78.0
40,E7,E,79.0
41,Amin9,A,80.0
