Measure,Soon,Time
1,E-1maj7,0.0
3,Gmin7,4.0
4,C7,6.0
5,Fmin7,8.0
7,A-1min7,12.0
8,B-17,14.0
9,E-1maj7,16.0
10,B-1min7,18.0
10,E-17,19.0
11,A-1maj7,20.0
12,Gmin7,22.0
12,C7,23.0
13,Fmin7,24.0
14,B-17,26.0
15,Gmin7,28.0
15,Cmin7,29.0
16,Fmin7,30.0
16,B-17,31.0
17,E-1maj7,32.0
19,Gmin7,36.0
20,C7,38.0
21,Fmin7,40.0
23,A-1min7,44.0
24,B-17,46.0
25,E-1maj7,48.0
26,B-1min7,50.0
26,E-17,51.0
27,A-1maj7,52.0
28,A-1min7,54.0
28,D-17,55.0
29,Gmin7,56.0
29,Cmin7,57.0
30,Fmin7,58.0
30,B-17,59.0
31,E-1maj7,60.0
