Measure,SoulStation,chord_note,Time
1,Eb7,Eb,0.0
2,Bb7,Bb,2.0
3,Eb7,Eb,4.0
4,Bbmin7,Bb,6.0
4,Eb7,Eb,7.0
5,Ab7,Ab,8.0
6,Ab7,Ab,10.0
7,Bb7,Bb,12.0
7,Ab7,Ab,13.0
8,Bb7,Bb,14.0
9,Eb7,Eb,16.0
10,Eb7,Eb,18.0
11,Ab7,Ab,20.0
12,Adim7,A,22.0
13,Eb7,Eb,24.0
13,Cmin7,C,25.0
14,F7,F,26.0
14,Bb7,Bb,27.0
15,Eb7,Eb,28.0
16,Bb7,Bb,30.0
17,Eb7,Eb,32.0
18,Eb7,Eb,34.0
19,Eb7,Eb,36.0
20,Eb7,Eb,38.0
21,Ab7,Ab,40.0
22,Ab7,Ab,42.0
23,Bb7,Bb,44.0
24,Bb7,Bb,46.0
25,Eb7,Eb,48.0
26,Eb7,Eb,50.0
27,Ab7,Ab,52.0
28,Abdim7,Ab,54.0
29,Eb7,Eb,56.0
29,Cmin7,C,57.0
30,Fmin7,F,58.0
30,Bb7,Bb,59.0
31,Eb7,Eb,60.0
32,Eb7,Eb,62.0
