Measure,SoulfulStrut,chord_note,Time
2,Abmaj7,Ab,2.0
3,Bbmin7,Bb,4.0
4,Abmaj7,Ab,6.0
5,Bbmin7,Bb,8.0
6,Abmaj7,Ab,10.0
7,Bbmin7,Bb,12.0
8,Abmaj7,Ab,14.0
9,Bbmin7,Bb,16.0
10,Ab,Ab,18.0
14,Abmaj7,Ab,26.0
15,Bbmin7,Bb,28.0
16,Abmaj7,Ab,30.0
17,Bbmin7,Bb,32.0
18,Abmaj7,Ab,34.0
19,Bbmin7,Bb,36.0
20,Abmaj7,Ab,38.0
21,Bbmin7,Bb,40.0
22,Abmaj7,Ab,42.0
23,Bbmin7,Bb,44.0
24,Abmaj7,Ab,46.0
25,Bbmin7,Bb,48.0
26,Abmaj7,Ab,50.0
27,Bbmin7,Bb,52.0
28,Abmaj7,Ab,54.0
29,Bbmin7,Bb,56.0
30,Abmaj7,Ab,58.0
31,Bbmin7,Bb,60.0
32,Abmaj7,Ab,62.0
33,Bbmin7,Bb,64.0
34,Abmaj7,Ab,66.0
35,Bbmin7,Bb,68.0
36,Abmaj7,Ab,70.0
37,Bbmin7,Bb,72.0
38,Abmaj7,Ab,74.0
39,Bbmin7,Bb,76.0
40,Abmaj7,Ab,78.0
41,Bbmin7,Bb,80.0
42,Abmaj7,Ab,82.0
43,Bbmin7,Bb,84.0
44,Abmaj7,Ab,86.0
45,Bbmin7,Bb,88.0
46,Abmaj7,Ab,90.0
47,Bbmin7,Bb,92.0
48,Abmaj7,Ab,94.0
49,Bbmin7,Bb,96.0
50,Abmaj7,Ab,98.0
51,Bbmin7,Bb,100.0
52,Abmaj7,Ab,102.0
53,Bbmin7,Bb,104.0
54,Abmaj7,Ab,106.0
55,Bbmin7,Bb,108.0
63,Abmaj7,Ab,124.0
64,Bbmin7,Bb,126.0
