Measure,Spiral,chord_note,Time
1,Emaj7/F#,E,0.0
2,Dmaj7/E,D,2.0
3,Dbmaj7/Eb,Db,4.0
3,Ebmaj7/F,Eb,5.0
5,Emaj7/F#,E,8.0
6,Dmaj7/E,D,10.0
7,Dbmaj7/Eb,Db,12.0
7,Ebmaj7/F,Eb,13.0
8,Fmaj7/G,F,14.0
8,Gbmaj7/Ab,Gb,15.0
17,Bbmin7,Bb,32.0
18,Ebmin7,Eb,34.0
18,Fmin,F,35.0
19,Bbmin7,Bb,36.0
20,Ebmin7,Eb,38.0
20,Gbmaj7/Ab,Gb,39.0
21,Bbmin7,Bb,40.0
22,Ebmin7,Eb,42.0
22,Fmin7,F,43.0
23,Bbmin7,Bb,44.0
24,Ebmin7,Eb,46.0
24,Gbmaj7/Ab,Gb,47.0
25,Bbmin7,Bb,48.0
26,Ebmin7,Eb,50.0
26,Fmin7,F,51.0
27,Bbmin,Bb,52.0
28,Ebmin7,Eb,54.0
28,Gbmaj7/Ab,Gb,55.0
29,Ebmin7,Eb,56.0
29,Gbmaj7/Ab,Gb,57.0
30,B/Db,B,58.0
30,Gbmaj7,Gb,59.0
31,E/F,E,60.0
31,F/Bb,F,60.666666666666664
31,Bb,Bb,61.333333333333336
32,Ebmin7,Eb,62.0
32,Db7,Db,62.666666666666664
32,A,A,63.333333333333336
33,B7/A,B,64.0
34,Bbmin7,Bb,66.0
35,Ebmin7,Eb,68.0
35,Fmin7,F,69.0
36,Bbmin7,Bb,70.0
37,Ebmin7,Eb,72.0
37,Gbmaj7/Ab,Gb,73.0
38,Bbmin7,Bb,74.0
39,Ebmin7,Eb,76.0
39,Fmin7,F,77.0
40,Bbmin7,Bb,78.0
41,Ebmin7,Eb,80.0
41,Gbmaj7/Ab,Gb,81.0
42,Bbmin7,Bb,82.0
43,Ebmin7,Eb,84.0
43,Fmin7,F,85.0
44,Bbmin7,Bb,86.0
45,Ebmin7,Eb,88.0
45,Gbmaj7/Ab,Gb,89.0
46,Bbmin7,Bb,90.0
47,Ebmin7,Eb,92.0
47,Fmin7,F,93.0
48,Bbmin7,Bb,94.0
49,Ebmin7,Eb,96.0
49,Gbmaj7/Ab,Gb,97.0
50,Emaj7/Gb,E,98.0
51,Dmaj7/E,D,100.0
52,Dbmaj7/Eb,Db,102.0
52,Ebmaj7/F,Eb,103.0
53,Fmaj7/G,F,104.0
53,Gbmaj7/Ab,Gb,105.0
54,Emaj7/Gb,E,106.0
55,Dmaj7/E,D,108.0
56,Dbmaj7/Eb,Db,110.0
56,Ebmaj7/F,Eb,111.0
57,Fmaj7/G,F,112.0
57,Gbmaj7/Ab,Gb,113.0
58,Bbmin7,Bb,114.0
59,Ebmin7,Eb,116.0
59,Fmin7,F,117.0
60,Bbmin7,Bb,118.0
61,Ebmin7,Eb,120.0
61,Gbmaj7/Ab,Gb,121.0
62,Bbmin7,Bb,122.0
63,Ebmin7,Eb,124.0
63,Fmin7,F,125.0
64,Bbmin7,Bb,126.0
65,Ebmin7,Eb,128.0
65,Gbmaj7/Ab,Gb,129.0
66,Bbmin7,Bb,130.0
66,Ebmin7,Eb,130.28571428571428
66,Bbmin7,Bb,130.57142857142858
66,Fmin7,F,130.85714285714286
66,Bbmin7,Bb,131.14285714285714
66,Ebmin7,Eb,131.42857142857142
66,Gbmaj7/Ab,Gb,131.71428571428572
82,Emaj7/Gb,E,162.0
82,Dmaj7/E,D,162.33333333333334
82,Dbmaj7/Eb,Db,162.66666666666666
82,Ebmaj7/F,Eb,163.0
82,Fmaj7/G,F,163.33333333333334
82,Gbmaj7/Ab,Gb,163.66666666666666
90,Bbmin7,Bb,178.0
90,Ebmin7,Eb,178.28571428571428
90,Bbmin7,Bb,178.57142857142858
90,Fmin7,F,178.85714285714286
90,Bbmin7,Bb,179.14285714285714
90,Ebmin7,Eb,179.42857142857142
90,Gbmaj7/Ab,Gb,179.71428571428572
