Measure,Storm,Time
1,Cmin7,0.0
2,F13,2.0
3,Cmin7,4.0
4,F13,6.0
5,Cmin7,8.0
6,F13,10.0
7,Cmin7,12.0
8,F13,14.0
9,Cmin7,16.0
10,F7sus(07),18.0
10,F7,19.0
11,Dmin7(b5),20.0
11,G7(#9),21.0
12,Cmin7,22.0
12,F13,23.0
13,Dmin7(b5),24.0
14,G7(b9),26.0
14,G7(#9),27.0
15,Cmin7,28.0
16,Amin7(b5),30.0
16,Eb7,31.0
17,Abmaj7,32.0
18,Dmin7(b5),34.0
18,G7(#9),35.0
19,Cmin7,36.0
20,F7sus(07),38.0
20,F7,39.0
21,Cmin7,40.0
23,Cmin7,44.0
25,Dmin7(b5),48.0
26,G7(#9),50.0
27,Cmin9,52.0
29,Abmaj7,56.0
30,Dmin7(b5),58.0
30,G7(#9),59.0
31,Cmin7,60.0
