Measure,Straight Street,Time
1,Bbmin7,0.0
1,Bmin7,1.0
2,Bmin7,2.0
2,E7,3.0
3,Amin7,4.0
3,D7,5.0
4,Gmin7,6.0
4,C7,7.0
5,Fmin7,8.0
5,Bb7,9.0
6,Ebmin7,10.0
7,E7,12.0
8,F#maj7,14.0
9,D7,16.0
10,Fmin7,18.0
11,Bb7,20.0
12,Ebmin9,22.0
13,Bbmin7,24.0
13,Bmin7,25.0
14,Ebmin9,26.0
15,Dbmin7,28.0
16,Gb7,30.0
17,Ebmin7,32.0
18,Ab7,34.0
19,Emin9,36.0
20,A13,38.0
21,Dmaj7,40.0
22,C13,42.0
23,Bmin,44.0
24,C#7,46.0
25,F#7,48.0
25,B7,49.0
26,G7,50.0
26,C7,51.0
27,Bmin7,52.0
27,E7,53.0
28,Amin7,54.0
28,D7,55.0
29,Gmin7,56.0
29,C7,57.0
30,Fmin7,58.0
30,Bb7,59.0
31,Ebmin7,60.0
32,E7,62.0
33,F#maj7,64.0
34,D7,66.0
35,Fmin7,68.0
36,Bb7,70.0
37,Ebmin9,72.0
