Measure,ThatIsWhyYouAreOverweight,Time
1,Gmin7,0.0
1,F,1.0
2,C7,2.0
3,Gmin7,4.0
3,F,5.0
4,C7,6.0
5,Gmin7,8.0
5,F,9.0
6,C7,10.0
7,Gmin7,12.0
7,F,13.0
8,C7,14.0
9,Gmin7,16.0
9,F,17.0
10,C7,18.0
11,Gmin7,20.0
11,F,21.0
12,C7,22.0
13,Gmin7,24.0
13,F,25.0
14,C7,26.0
15,B-1,28.0
15,C,29.0
16,E-1,30.0
16,D,31.0
17,G,32.0
17,G,32.4
17,F1,32.8
17,F,33.2
17,E,33.6
18,Amin7,34.0
19,B-1,36.0
19,C,37.0
20,E-1,38.0
20,D,39.0
21,G,40.0
21,G,40.4
21,F1,40.8
21,F,41.2
21,E,41.6
22,Amin7,42.0
22,D7,43.0
23,Gmin7,44.0
23,F,45.0
24,C7,46.0
25,Gmin7,48.0
25,F,49.0
26,C7,50.0
