Measure,TheOddCouple,chord_note,Time
1,Dmin7,D,0.0
1,G7,G,1.0
2,Dmin7,D,2.0
2,G7,G,3.0
3,Dmin7,D,4.0
3,G7,G,5.0
4,Dmin7,D,6.0
4,G7,G,7.0
5,Dmin7,D,8.0
5,G7,G,9.0
6,Dmin7,D,10.0
6,G7,G,11.0
7,Dmin7,D,12.0
7,G7,G,13.0
8,Gmin7,G,14.0
8,C7,C,15.0
9,Gmin7,G,16.0
9,C7,C,17.0
10,Gmin7,G,18.0
10,C6,C,19.0
11,Gmin7,G,20.0
11,C7,C,21.0
12,F7,F,22.0
12,B7,B,23.0
13,Bbmaj7,Bb,24.0
14,Emin7,E,26.0
14,A7,A,27.0
15,Dmin7,D,28.0
15,G7,G,29.0
16,Bbmaj7,Bb,30.0
16,A7,A,31.0
17,Dmin7,D,32.0
17,G7,G,33.0
18,Emin7(b5),E,34.0
19,A7,A,36.0
20,F7,F,38.0
20,B7,B,39.0
21,Bbmaj7,Bb,40.0
22,Emin7,E,42.0
22,A7,A,43.0
23,Gmin7,G,44.0
24,C7,C,46.0
25,Fmaj7,F,48.0
26,Bb7,Bb,50.0
26,A7,A,51.0
