Measure,TheZone,chord_note,Time
5,A7,A,8.0
9,A7,A,16.0
10,G/A,G,18.0
10,D/A,D,19.0
11,A7,A,20.0
12,G/A,G,22.0
12,D/A,D,23.0
13,A7,A,24.0
17,A7,A,32.0
18,G/A,G,34.0
18,D/A,D,35.0
19,A7,A,36.0
20,G/A,G,38.0
20,D/A,D,39.0
21,C9,C,40.0
21,B9,B,40.666666666666664
21,Bb9,Bb,41.333333333333336
22,A9,A,42.0
22,Bb9,Bb,42.666666666666664
22,B9,B,43.333333333333336
23,C9,C,44.0
23,B9,B,44.666666666666664
23,Bb9,Bb,45.333333333333336
24,A9,A,46.0
24,Bb9,Bb,46.666666666666664
24,B9,B,47.333333333333336
25,C9,C,48.0
25,B9,B,48.666666666666664
25,Bb9,Bb,49.333333333333336
26,A9,A,50.0
26,Ab9,Ab,50.5
26,G7,G,51.0
26,Gb7,Gb,51.5
27,F9,F,52.0
28,E7(#9),E,54.0
29,A7,A,56.0
37,Amin7,A,72.0
45,C9,C,88.0
45,B9,B,88.66666666666667
45,Bb9,Bb,89.33333333333333
46,A9,A,90.0
47,C9,C,92.0
47,B9,B,92.66666666666667
47,Bb9,Bb,93.33333333333333
48,A9,A,94.0
49,C7,C,96.0
49,B7,B,97.0
50,E7(#5),E,98.0
50,A7,A,98.4
50,Ab7,Ab,98.8
50,G7,G,99.2
50,Gb7,Gb,99.6
51,F9,F,100.0
52,E7(#9),E,102.0
53,A7,A,104.0
