Measure,Tricotism,chord_note,Time
1,Bb,Bb,0.0
7,Eb7,Eb,12.0
8,D7,D,14.0
8,Db,Db,15.0
9,Bb,Bb,16.0
11,Dbmaj7,Db,20.0
13,Eb7,Eb,24.0
14,Eb7,Eb,26.0
15,Gbmaj7,Gb,28.0
15,Gdim,G,29.0
16,Dbmaj7,Db,30.0
16,Bb7,Bb,31.0
17,A7,A,32.0
18,Ebmin7,Eb,34.0
18,Ab7,Ab,35.0
19,Dbmaj7,Db,36.0
21,Eb7,Eb,40.0
23,Gbmaj7,Gb,44.0
23,Gdim,G,45.0
24,Dbmaj7,Db,46.0
24,Bb7,Bb,47.0
25,Ebmin7,Eb,48.0
25,Ab7,Ab,49.0
26,Dbmaj7,Db,50.0
27,A7,A,52.0
29,Dbmaj7,Db,56.0
30,Cmin7,C,58.0
30,F7,F,59.0
31,Bbmin7,Bb,60.0
31,Bbmin(maj7),Bb,61.0
32,Bbmin7,Bb,62.0
33,Eb7,Eb,64.0
34,Ebmin7,Eb,66.0
34,Ab7,Ab,67.0
35,Dbmaj7,Db,68.0
37,Eb7,Eb,72.0
39,Gbmaj7,Gb,76.0
39,Gdim,G,77.0
40,Dbmaj7,Db,78.0
40,Bb7,Bb,79.0
41,Ebmin7,Eb,80.0
41,Ab7,Ab,81.0
42,Dbmaj7,Db,82.0
42,Ab7,Ab,83.0
