Measure,UhHuh,chord_note,Time
1,Bb7,Bb,0.0
2,Eb7,Eb,2.0
3,Bb7,Bb,4.0
4,Eb7,Eb,6.0
5,Bb7,Bb,8.0
6,Eb7,Eb,10.0
7,Bb7,Bb,12.0
7,Ab9,Ab,13.0
8,Gb9,Gb,14.0
8,F7,F,15.0
9,Bb7,Bb,16.0
10,Ebmin7,Eb,18.0
12,Bbmin7,Bb,22.0
13,Bb7,Bb,24.0
13,Bb7,Bb,25.0
14,Ebmin7,Eb,26.0
16,F7,F,30.0
19,Bb7,Bb,36.0
20,Eb7,Eb,38.0
21,Bb7,Bb,40.0
22,Eb7,Eb,42.0
23,Bb7,Bb,44.0
24,Eb7,Eb,46.0
25,Bb7,Bb,48.0
25,Ab9,Ab,49.0
26,Gb9,Gb,50.0
26,F7,F,51.0
29,Ab9,Ab,56.0
30,Gb9,Gb,58.0
30,F7,F,59.0
31,Bb7,Bb,60.0
31,Ab,Ab,61.0
32,Gb,Gb,62.0
32,F7,F,63.0
33,Bb7,Bb,64.0
