Measure,"WaltzInA,A",chord_note,Time
1,E7,E,0.0
1,D7,D,0.75
1,A,A,1.5
1,E7,E,2.25
2,A,A,3.0
3,E7,E,6.0
4,D,D,9.0
5,A,A,12.0
5,E7,E,13.5
6,A,A,15.0
7,C#,C#,18.0
8,F#min,F#,21.0
8,A/E,A,22.5
9,D,D,24.0
9,D/E,D,25.5
10,A,A,27.0
10,C#,C#,28.5
11,D,D,30.0
11,E,E,31.0
11,B7,B,32.0
12,A,A,33.0
12,D,D,34.5
13,A,A,36.0
13,A7,A,37.5
14,D,D,39.0
15,Eb,Eb,42.0
16,A7,A,45.0
16,Bmin7,B,46.5
17,D,D,48.0
17,E7,E,48.75
17,A7,A,49.5
17,E7,E,50.25
18,A7,A,51.0
18,Bmin7,B,52.5
19,D,D,54.0
19,E7,E,54.75
19,A7,A,55.5
19,E7,E,56.25
20,A,A,57.0
