Measure,Watermelon Man2,chord_note,Time
1,F7,F,0.0
2,F7,F,2.0
3,F7,F,4.0
4,F7,F,6.0
6,C13,C,10.0
6,B13,B,11.0
7,Bb13,Bb,12.0
7,Bb13,Bb,12.666666666666666
7,B13,B,13.333333333333334
8,C13,C,14.0
8,B13,B,15.0
9,Bb9,Bb,16.0
9,Bb13,Bb,16.666666666666668
9,B13,B,17.333333333333332
10,C13,C,18.0
10,B13,B,19.0
11,Bb13,Bb,20.0
12,Ab9,Ab,22.0
12,Gb9,Gb,23.0
13,Ab9,Ab,24.0
13,Gb9,Gb,25.0
14,Ab9,Ab,26.0
14,Gb9,Gb,27.0
15,Ab9,Ab,28.0
15,Gb9,Gb,29.0
16,Ab9,Ab,30.0
16,Gb9,Gb,31.0
17,Ab9,Ab,32.0
17,Gb9,Gb,33.0
18,Ab9,Ab,34.0
18,Gb9,Gb,35.0
19,Ab9,Ab,36.0
19,A9,A,36.5
19,Gb9,Gb,37.0
19,F9,F,37.5
20,F7,F,38.0
21,F7,F,40.0
22,F7,F,42.0
23,F7,F,44.0
24,Bb7,Bb,46.0
25,Bb7,Bb,48.0
26,F7,F,50.0
27,F7,F,52.0
28,C13,C,54.0
29,Bb13,Bb,56.0
29,Bb13,Bb,56.666666666666664
29,B13,B,57.333333333333336
30,C13,C,58.0
30,B13,B,59.0
31,Bb13,Bb,60.0
31,Bb13,Bb,60.666666666666664
31,B13,B,61.333333333333336
32,C13,C,62.0
32,B13,B,63.0
33,Bb13,Bb,64.0
34,Ab9,Ab,66.0
34,Gb9,Gb,67.0
35,Ab9,Ab,68.0
36,Ab9,Ab,70.0
36,Gb9,Gb,71.0
37,Ab9,Ab,72.0
37,Gb9,Gb,73.0
38,Ab9,Ab,74.0
38,Gb9,Gb,75.0
39,Ab9,Ab,76.0
39,Gb9,Gb,77.0
40,Ab9,Ab,78.0
40,Gb9,Gb,79.0
41,Ab9,Ab,80.0
41,Gb9,Gb,81.0
42,Ab9,Ab,82.0
42,Gb9,Gb,83.0
43,Ab9,Ab,84.0
43,Gb9,Gb,85.0
44,G9,G,86.0
44,Gb9,Gb,86.66666666666667
44,F9,F,87.33333333333333
45,F7,F,88.0
