Measure,WhenTheSunComesDown,chord_note,Time
1,Cmaj7,C,0.0
1,Gb7,Gb,1.0
2,Fmaj7,F,2.0
2,Fmin7,F,2.6666666666666665
2,Bb7,Bb,3.333333333333333
3,Emin7,E,4.0
3,Amin7,A,5.0
4,D7,D,6.0
4,G7,G,6.666666666666667
4,Gb7,Gb,7.333333333333333
5,Fmaj7,F,8.0
5,E7,E,9.0
6,Amin7,A,10.0
6,D7,D,11.0
7,Dmin7,D,12.0
7,G7,G,13.0
8,Emin7,E,14.0
8,A7,A,14.5
8,Dmin7,D,15.0
8,G7,G,15.5
9,Cmaj7,C,16.0
9,Gb7,Gb,17.0
10,Fmaj7,F,18.0
10,Fmin7,F,18.666666666666668
10,Bb7,Bb,19.333333333333332
11,Emin7,E,20.0
11,Amin7,A,21.0
12,D7,D,22.0
12,G7,G,22.666666666666668
12,Gb7,Gb,23.333333333333332
13,Fmaj7,F,24.0
13,E7,E,25.0
14,Amin7,A,26.0
14,D7,D,27.0
15,Dmin7,D,28.0
15,G7,G,29.0
16,Cmaj7,C,30.0
16,Bdim7,B,30.666666666666668
16,E7,E,31.333333333333332
17,Amin7,A,32.0
17,Bbmaj7,Bb,33.0
18,Bdim7,B,34.0
18,Cmaj7,C,35.0
19,C#dim7,C#,36.0
19,Dmin7,D,37.0
20,Ebdim,Eb,38.0
20,Cmaj7,C,38.666666666666664
20,E,E,39.333333333333336
21,Fmaj7,F,40.0
21,F#dim7,F#,41.0
22,Gsus,G,42.0
22,Amin7,A,43.0
23,D7,D,44.0
23,Eb13,Eb,44.666666666666664
23,E13,E,45.333333333333336
24,F13,F,46.0
24,Gb13,Gb,46.5
24,Gsus,G,47.0
24,G7,G,47.5
25,Cmaj7,C,48.0
25,Gb7,Gb,49.0
26,Fmaj7,F,50.0
26,Fmin7,F,50.666666666666664
26,Bb7,Bb,51.333333333333336
27,Emin7,E,52.0
27,Amin7,A,53.0
28,D7,D,54.0
28,G7,G,54.666666666666664
28,Gb7,Gb,55.333333333333336
29,Fmaj7,F,56.0
29,E7,E,57.0
30,Amin7,A,58.0
30,D7,D,59.0
