Measure,Whilemyladysleeps,chord_note,Time
2,C7,C,2.0
11,C7,C,20.0
11,Dbmaj7,Db,21.0
12,C7,C,22.0
12,Dbmaj7,Db,23.0
13,Cmaj7,C,24.0
14,Dmin7,D,26.0
14,G7,G,27.0
15,Cmaj7,C,28.0
16,Dmin7,D,30.0
16,G7,G,31.0
17,C7,C,32.0
17,Dbmaj7,Db,33.0
18,C7,C,34.0
18,Dbmaj7,Db,35.0
19,C7,C,36.0
20,Dmin7,D,38.0
20,G7,G,39.0
21,C7,C,40.0
23,Dmin7,D,44.0
24,G7(#9),G,46.0
25,Cmaj7,C,48.0
26,Cmaj7,C,50.0
27,Amin7,A,52.0
28,D7,D,54.0
28,Eb7(b5),Eb,55.0
29,Emin7,E,56.0
29,A7,A,57.0
30,Dmin7,D,58.0
30,G7,G,59.0
31,C7,C,60.0
31,Dbmaj7,Db,61.0
32,Cmaj7,C,62.0
32,Dbmaj7,Db,63.0
33,Cmaj7,C,64.0
33,Eb7(b5),Eb,65.0
34,A7,A,66.0
35,Dmin7,D,68.0
35,Cmaj7,C,69.0
36,Fmaj7,F,70.0
36,F#7(b5),F#,70.66666666666667
36,B7,B,71.33333333333333
37,Cmaj7,C,72.0
38,Emin7(b5),E,74.0
38,A7,A,75.0
39,Fmaj7,F,76.0
40,Emin7,E,78.0
40,Eb7,Eb,79.0
41,Dmin7,D,80.0
42,G7,G,82.0
43,C7,C,84.0
48,A7,A,94.0
49,Dmin7,D,96.0
49,Cmaj7,C,97.0
50,F,F,98.0
50,F#,F#,98.66666666666667
50,B7,B,99.33333333333333
51,Cmaj7,C,100.0
52,Emin7,E,102.0
52,A7,A,103.0
53,Fmaj7,F,104.0
53,F7,F,105.0
54,Emin7,E,106.0
54,Eb7,Eb,107.0
55,Dmin7,D,108.0
56,G7,G,110.0
57,C7,C,112.0
60,Cdim,C,118.0
