Measure,Why Was I Born,chord_note,Time
1,Dmaj7,D,0.0
2,Fmin7,F,2.0
3,Emin7,E,4.0
4,A7,A,6.0
5,Dmaj7,D,8.0
6,Amin7,A,10.0
6,D7,D,11.0
7,Gmaj7,G,12.0
8,C9,C,14.0
9,Dmaj7,D,16.0
10,Bmin7,B,18.0
11,E9,E,20.0
12,A7,A,22.0
13,Amin7,A,24.0
13,D7,D,25.0
14,Gmaj7,G,26.0
14,C7,C,27.0
15,F#min7,F#,28.0
15,B7,B,29.0
16,Emin7,E,30.0
16,A7,A,31.0
17,Dmaj7,D,32.0
18,Fdim7,F,34.0
19,Emin7,E,36.0
20,A7,A,38.0
21,Dmaj7,D,40.0
22,Amin7,A,42.0
22,D7,D,43.0
23,Gmaj7,G,44.0
24,C9,C,46.0
25,Dmaj7,D,48.0
26,Bmin7,B,50.0
27,E7,E,52.0
28,C9,C,54.0
29,Bmin7,B,56.0
29,F13,F,57.0
30,Emin7,E,58.0
30,A7,A,59.0
31,D7,D,60.0
32,Emin7,E,62.0
32,A7,A,63.0
