Measure,filthy mcnasty,Time
2,A-113,2.0
3,A13,4.0
3,B-113,5.0
4,E13,6.0
5,F13,8.0
5,G-113,9.0
6,Dminor-seventh,10.0
6,G7,11.0
7,Cmin7,12.0
7,F7,12.666666666666666
7,B-113,13.333333333333334
8,A-113,14.0
8,A13,14.666666666666666
8,B-113,15.333333333333334
9,A-113,16.0
9,A13,16.666666666666668
9,B-113,17.333333333333332
10,B-17,18.0
14,E-17,26.0
16,B-17,30.0
17,G-19,32.0
18,F7,34.0
18,E7,35.0
19,E-17,36.0
19,B-1,37.0
24,B-17,46.0
28,E-17,54.0
32,F7,62.0
33,E-17,64.0
34,B-17,66.0
34,Cmin7,66.66666666666667
34,F7,67.33333333333333
36,A-113,70.0
37,A13,72.0
37,B-113,73.0
38,E13,74.0
39,F13,76.0
39,G-113,77.0
40,Dminor-seventh,78.0
40,G7,79.0
41,Cmin7,80.0
41,F7,80.66666666666667
41,B-113,81.33333333333333
42,A-113,82.0
42,A13,82.66666666666667
42,B-113,83.33333333333333
43,A-113,84.0
43,A13,84.66666666666667
43,B-113,85.33333333333333
