Measure,isthereaplaceforus,chord_note,Time
1,Ebmaj7,Eb,0.0
2,Amin7,A,2.0
2,D7,D,3.0
3,Fmin7,F,4.0
4,Eb13,Eb,6.0
5,Ebmaj7,Eb,8.0
6,Amin7,A,10.0
6,D7,D,11.0
7,Fmin7,F,12.0
8,Bb13,Bb,14.0
8,Abmin7,Ab,15.0
9,Eb7,Eb,16.0
10,Bbmin7,Bb,18.0
10,Eb7,Eb,19.0
11,Ab7,Ab,20.0
12,Ebmin7,Eb,22.0
12,Ab7,Ab,23.0
13,Dbmaj13,Db,24.0
14,Dbmin7,Db,26.0
14,Gb9,Gb,27.0
15,B13,B,28.0
16,Gbmin9,Gb,30.0
16,Bb7,Bb,31.0
17,Ebmaj9,Eb,32.0
18,G7,G,34.0
18,Dmin7,D,34.666666666666664
18,G7,G,35.333333333333336
19,Cmaj7,C,36.0
20,F#min7,F#,38.0
20,B7,B,39.0
21,Dmin7,D,40.0
22,G13,G,42.0
23,Gmin7,G,44.0
24,C9,C,46.0
25,F7,F,48.0
26,Fmin7,F,50.0
26,Bb7,Bb,51.0
27,Ebmaj7,Eb,52.0
28,Ab7,Ab,54.0
29,Ebmaj7,Eb,56.0
30,D7,D,58.0
31,Dmin7,D,60.0
32,F7,F,62.0
32,G7,G,63.0
33,Cmin7,C,64.0
34,Fmin7,F,66.0
34,Bb7,Bb,67.0
