Measure,lyresto,Time
1,Ebmaj7,0.0
2,Gmin7,2.0
2,F7,3.0
3,Fmin7,4.0
4,Bb7,6.0
5,Ebmaj7,8.0
6,Gmin7,10.0
6,C7,11.0
7,Abmin7,12.0
8,Db7,14.0
9,Gmin7,16.0
9,F#min7,17.0
10,B7,18.0
11,Fmin7,20.0
12,Fmin7,22.0
12,Bb7,23.0
13,Gmin7,24.0
14,C7,26.0
15,Fmin7,28.0
16,Bb7,30.0
17,Ebmaj7,32.0
18,Gmin7,34.0
18,C7,35.0
19,Fmin7,36.0
20,Bb7,38.0
21,Ebmaj7,40.0
22,Gmin7,42.0
22,C7,43.0
23,Abmin7,44.0
24,Db7,46.0
25,Bbmin7,48.0
26,Eb7,50.0
27,Abmin7,52.0
28,Db7,54.0
29,Ebmaj13,56.0
29,Caugmented-seventh,57.0
30,Fmin7,58.0
30,Bb7,59.0
31,Ebmaj13,60.0
31,Caugmented-seventh,61.0
32,Fmin7,62.0
