Measure,stlouisblues,chord_note,Time
1,G7,G,0.0
2,C7,C,2.0
3,G7,G,4.0
4,G7,G,6.0
5,C7,C,8.0
6,C7,C,10.0
7,G7,G,12.0
8,G7,G,14.0
9,D7,D,16.0
10,C7,C,18.0
11,G7,G,20.0
12,Amin7,A,22.0
12,D7,D,23.0
14,Gmin7,G,26.0
15,Gmin7,G,28.0
16,D7,D,30.0
17,D7,D,32.0
18,D7,D,34.0
19,D7,D,36.0
20,Gmin7,G,38.0
21,Gmin7,G,40.0
22,Gmin7,G,42.0
22,Eb7,Eb,43.0
23,Amin7,A,44.0
23,Ddim,D,44.666666666666664
23,D7,D,45.333333333333336
24,G7,G,46.0
25,G7,G,48.0
26,G7,G,50.0
27,G7,G,52.0
28,C7,C,54.0
29,C7,C,56.0
30,G7,G,58.0
31,E7(#9),E,60.0
32,Amin7,A,62.0
33,D7,D,64.0
34,G7,G,66.0
34,Bb7,Bb,67.0
35,Amin7,A,68.0
35,D7,D,69.0
