,C,Db,D,Eb,E,F,Gb,G,Ab,A,Bb,B,true
A6_pictures_at_an_exhibition_Flute.ogg,4377.96435546875,32880.91015625,5019.47412109375,7995.18359375,57190.34375,14562.7021484375,42539.01171875,7987.34228515625,15612.0068359375,67433.0,12095.8671875,272.28460693359375,A6
Ab6_aka_upper_sangha_Flute.ogg,105430.6015625,16126.5986328125,20293.580078125,176675.875,49414.94140625,126885.3125,26569.162109375,64049.67578125,295492.3125,56354.71875,34837.42578125,20479.087890625,Ab6
Gb6_Nawakhat_Flute.ogg,2221.09326171875,18101.259765625,3810.7060546875,6480.28369140625,2520.224853515625,5788.32373046875,36861.9453125,7206.23779296875,3982.5625,8622.1943359375,43399.6015625,4678.45751953125,Gb6
F6_aka_Flute.ogg,136850.390625,31298.041015625,73240.4296875,19318.802734375,33361.2734375,217030.8125,44451.87109375,34151.296875,31270.2265625,148007.984375,18100.326171875,17291.234375,F6
Bb6_samba_Flute.ogg,358.999755859375,6807.99169921875,53811.87109375,8703.2919921875,12056.5078125,93980.1640625,19582.255859375,26412.607421875,8410.787109375,30994.828125,123777.8359375,21426.763671875,Bb6
A6_spanish_tango_Flute.ogg,2926.252685546875,22896.564453125,3644.0361328125,6218.935546875,43535.55859375,12514.0771484375,43077.1875,7254.19140625,11678.3642578125,41879.4921875,7474.94140625,185.6063690185547,A6
D6_al-saghil-al-sani_Flute.ogg,5177.0341796875,8282.587890625,33398.90234375,6315.61865234375,1760.4957275390625,4435.0791015625,27096.509765625,3509.811767578125,4229.46875,23959.361328125,7939.61865234375,27624.140625,D6
Ab6_ngbaka-maibo_Flute.ogg,68196.7421875,10498.7734375,8339.3916015625,75168.96875,25870.734375,82121.703125,16698.482421875,36191.9140625,136424.078125,25818.6875,12762.3125,11263.5595703125,Ab6
Gb6_aksak_Flute.ogg,2583.926025390625,21237.158203125,4555.64697265625,7855.69921875,3310.566650390625,8074.08056640625,56925.89453125,10883.71484375,4354.6044921875,11004.7177734375,56757.33203125,6146.462890625,Gb6
Eb6_samba_Flute.ogg,40128.46484375,10376.1669921875,17615.115234375,88561.3828125,16437.6015625,2817.1923828125,6859.130859375,49032.59375,7622.49267578125,11517.0341796875,67876.25,13568.5556640625,Eb6
G6_Nawakhat_Flute.ogg,3529.170166015625,2713.496826171875,22181.068359375,5664.13134765625,12915.4345703125,2897.873779296875,5388.5498046875,34782.359375,6959.14599609375,5091.97998046875,6888.525390625,32708.365234375,G6
Bb6_cinquillo_Flute.ogg,144.5454559326172,2469.441650390625,19804.005859375,3245.473388671875,5671.703125,40152.4140625,7135.54736328125,8632.8056640625,2838.520751953125,12176.7568359375,46718.5625,7654.72314453125,Bb6
Db6_ngbaka-maibo_Flute.ogg,11838.6162109375,88096.59375,17350.740234375,6677.56396484375,5526.240234375,34649.37890625,5772.99267578125,5668.826171875,45302.15234375,30146.365234375,118948.5703125,15696.5166015625,Db6
F6_fandango_Flute.ogg,25481.353515625,4821.67431640625,5125.64208984375,3238.22265625,10079.705078125,68186.421875,13041.62890625,5050.9287109375,8470.2177734375,42718.71484375,4837.81494140625,3176.5224609375,F6
C6_aksak_Flute.ogg,28083.720703125,5550.990234375,2698.971923828125,2844.484375,17662.751953125,2774.233154296875,2283.960693359375,17478.619140625,4686.466796875,8765.2744140625,2731.6611328125,4223.71044921875,C6
C6_bendir_Flute.ogg,24248.140625,5051.17138671875,4532.24560546875,2951.886474609375,16769.5546875,2713.727294921875,2973.959228515625,21034.404296875,6192.11962890625,15080.4658203125,3179.616455078125,3994.291015625,C6
Db6_bendir_Flute.ogg,4162.17333984375,25729.447265625,5210.76611328125,3192.902099609375,2661.001220703125,16998.814453125,2852.989013671875,2486.260498046875,18604.228515625,11322.80078125,43722.02734375,5812.73974609375,Db6
