,C,Db,D,Eb,E,F,Gb,G,Ab,A,Bb,B,true
Gb7_pictures_at_an_exhibition_Piano_13.wav,552.1531372070312,1689.765625,446.2034912109375,562.9500122070312,1282.8028564453125,3202.918212890625,10308.5107421875,1674.3406982421875,922.7097778320312,2399.458251953125,14378.58984375,2285.448974609375,Gb7
Bb7_agsag-samai_Piano_11.wav,266.480712890625,378.8294677734375,1631.77587890625,549.3273315429688,842.041748046875,3272.126220703125,698.6359252929688,238.17384338378906,830.4536743164062,2722.311279296875,9384.91796875,1371.0426025390625,Bb7
A7_agogo-samba_Piano_b13_9.wav,839.2434692382812,2787.674560546875,1010.2116088867188,1757.03076171875,6546.57177734375,2650.958984375,1145.3614501953125,2822.62890625,4412.36865234375,12377.8271484375,2084.68115234375,1289.55908203125,A7
B7_al-saghil-al-sani_Piano_b9.wav,1821.1434326171875,345.4043273925781,610.2835693359375,3164.448486328125,649.5126342773438,338.13348388671875,1811.9656982421875,730.1162719726562,330.5978698730469,885.8673706054688,2037.57275390625,9449.7333984375,B7
Bb7_Nawakhat_Piano_#11.wav,229.04942321777344,306.09417724609375,1291.2154541015625,403.6773376464844,840.3048706054688,2913.999267578125,627.5924682617188,200.483154296875,727.50244140625,2292.122314453125,7876.99462890625,1175.6173095703125,Bb7
Gb7_samba_Piano_b9_11.wav,826.9360961914062,2398.468505859375,643.6177368164062,571.9741821289062,1999.41259765625,4497.97900390625,14793.5654296875,3218.59375,1551.49658203125,3432.256591796875,20435.599609375,3493.364501953125,Gb7
C7_spanish_tango_Piano_11.wav,2102.381103515625,448.9078369140625,742.9877319335938,718.6640625,2069.46484375,1341.014892578125,1986.4498291015625,6718.3359375,1409.0760498046875,1230.8597412109375,6489.93896484375,1642.1436767578125,C7
A7_venda_clapping_Piano_b9.wav,459.2720947265625,1908.0240478515625,631.4508666992188,1119.2879638671875,4111.92431640625,884.3484497070312,277.7156982421875,980.4443359375,2884.409912109375,8875.7431640625,1565.5548095703125,381.4832458496094,A7
F7_mpre_Piano_11.wav,3059.118408203125,687.9270629882812,491.83251953125,1799.9088134765625,3558.062255859375,9955.576171875,1714.6688232421875,1240.6314697265625,2338.75537109375,13932.62890625,7375.88134765625,1486.8026123046875,F7
Gb7_mpre_Piano_9_b13.wav,696.494140625,2194.72265625,940.257568359375,667.8106079101562,1773.72900390625,3598.986083984375,11229.7490234375,2292.39306640625,4765.92431640625,3566.3876953125,16938.814453125,2696.218017578125,Gb7
Db7_aka_Piano_13.wav,3185.208984375,6253.62939453125,1649.3646240234375,3447.547607421875,2171.19873046875,5507.064453125,4166.36767578125,6746.45703125,30695.671875,5924.443359375,4253.158203125,7207.23828125,Db7
Gb7_bendir_Piano_13_#11.wav,1442.2066650390625,1535.8138427734375,420.2626953125,700.3399047851562,1453.1881103515625,2591.400390625,7891.07568359375,1397.14794921875,830.2232055664062,1842.3992919921875,10753.2177734375,1890.3289794921875,Gb7
G7_ngbaka-maibo_Piano_b9_11.wav,3678.750244140625,2131.205810546875,6867.01220703125,1811.0709228515625,737.72509765625,2382.190673828125,4578.6630859375,13946.1416015625,9159.130859375,2416.31640625,1053.5125732421875,3575.684814453125,G7
Gb7_spanish_tango_Piano_11.wav,502.1957092285156,1371.3990478515625,341.9788513183594,299.4037780761719,1180.2860107421875,2563.924072265625,7898.880859375,1282.4237060546875,780.7151489257812,2156.22216796875,12757.7607421875,2200.709716796875,Gb7
Bb7_york-samai_Piano_13.wav,231.51588439941406,325.9903259277344,1405.6942138671875,415.4599609375,695.6806640625,2895.877685546875,689.429443359375,769.8271484375,1149.66455078125,2307.9462890625,7234.181640625,1079.6636962890625,Bb7
Eb7_aka_Piano_9.wav,1407.3973388671875,5487.88525390625,7179.61279296875,19665.18359375,3677.370849609375,4000.080078125,5098.34130859375,29769.734375,7214.83642578125,5554.76904296875,28164.5703125,4470.82275390625,Eb7
D7_Nawakhat_Piano_13.wav,901.584228515625,761.9682006835938,2116.051025390625,479.6623840332031,822.2681274414062,688.1520385742188,1947.4827880859375,972.8663940429688,1727.8935546875,5918.93603515625,1150.3817138671875,507.3814697265625,D7
A7_aka_Piano_b13_9.wav,1399.82666015625,4011.451171875,1446.1507568359375,2551.66064453125,10259.8955078125,4383.20947265625,1387.9310302734375,4650.32666015625,7337.70458984375,23665.009765625,3875.2080078125,2082.6875,A7
F7_pictures_at_an_exhibition_Piano_13.wav,2263.965576171875,557.3776245117188,651.7609252929688,1321.5631103515625,3102.2314453125,8701.5634765625,1498.8472900390625,929.571044921875,2086.48974609375,12299.67578125,2080.3671875,605.2766723632812,F7
A7_aka_upper_sangha_Piano_9_#11.wav,1397.9537353515625,4176.82666015625,1901.3062744140625,5027.00244140625,11908.8486328125,2626.62548828125,1865.43359375,4930.82666015625,7885.421875,25656.595703125,4415.81591796875,3173.010986328125,A7
C7_samba_Piano_b13_11.wav,3804.874755859375,813.3306274414062,1352.7841796875,1450.7891845703125,4145.376953125,2243.935302734375,3664.408203125,13284.671875,3439.442138671875,2336.688720703125,11216.2734375,2832.112548828125,C7
A7_Nawakhat_Piano_13.wav,293.3094482421875,1218.7889404296875,429.6372985839844,749.7754516601562,2749.6484375,624.9857177734375,383.4554443359375,810.3075561523438,2018.3759765625,6046.9921875,990.35546875,241.0118865966797,A7
E7_Nawakhat_Piano_b9.wav,344.8450012207031,330.2286376953125,944.0653686523438,2227.270263671875,6812.75,1321.9847412109375,703.0224609375,1155.8421630859375,6581.458984375,1383.1690673828125,426.5116882324219,1250.2271728515625,E7
D7_venda_clapping_Piano_13.wav,1182.508544921875,1096.8397216796875,3135.69140625,668.5521850585938,1211.4691162109375,1046.9886474609375,2976.580810546875,1400.2647705078125,2572.017822265625,8749.4482421875,1665.3829345703125,585.5498657226562,D7
Ab7_Nawakhat_Piano_b9.wav,1808.32373046875,455.7524108886719,590.1943359375,2266.658203125,631.9996948242188,263.5915832519531,749.9871215820312,1959.8177490234375,6487.685546875,2262.91552734375,406.780517578125,383.6685791015625,Ab7
Eb7_pictures_at_an_exhibition_Piano_9.wav,359.3726501464844,1136.9871826171875,2968.34375,8889.1552734375,1575.5416259765625,1083.970947265625,1757.7476806640625,10269.2314453125,2198.652587890625,2010.6123046875,10706.2685546875,1673.4024658203125,Eb7
C7_agsag-samai_Piano_9.wav,2330.552001953125,544.0918579101562,1141.9737548828125,863.99560546875,2357.25830078125,1104.5457763671875,1962.5831298828125,6502.94873046875,1364.678466796875,849.2014770507812,3914.626708984375,1304.6744384765625,C7
E7_spanish_tango_Piano_#11.wav,417.3759765625,428.6026306152344,1415.615234375,2575.5859375,7486.07958984375,1252.6895751953125,806.0756225585938,1443.9234619140625,8506.267578125,1875.072265625,853.51025390625,1567.1697998046875,E7
Bb7_agogo-samba_Piano_b9.wav,726.5955200195312,726.3356323242188,2902.821533203125,1012.384033203125,1529.3236083984375,6407.34033203125,1925.7900390625,636.0505981445312,2449.865478515625,5981.23193359375,23776.859375,4627.21826171875,Bb7
E7_ngbaka-maibo_Piano_13_11.wav,1317.8702392578125,4624.55712890625,3468.0234375,4957.49267578125,14761.73828125,2391.46630859375,1515.4957275390625,3020.983642578125,17588.650390625,4365.03369140625,1147.6839599609375,2700.067626953125,E7
D7_york-samai_Piano_11.wav,1293.8739013671875,785.1679077148438,2007.2095947265625,470.175048828125,835.8248901367188,640.0794067382812,2015.8929443359375,3545.163330078125,2174.343505859375,6417.541015625,1212.2528076171875,403.7763366699219,D7
E7_cinquillo_Piano_b9.wav,402.866943359375,391.8313293457031,1163.8795166015625,2504.65966796875,7660.40478515625,1549.81396484375,832.913818359375,1314.4024658203125,7471.29345703125,1605.4925537109375,494.7087707519531,1459.6729736328125,E7
B7_agogo-samba_Piano_11.wav,2646.820556640625,552.1923217773438,1047.391845703125,5233.03173828125,2361.396728515625,1011.803955078125,4214.80322265625,1301.291259765625,750.2820434570312,1960.08984375,3984.1748046875,17695.572265625,B7
F7_venda_clapping_Piano_b9.wav,2173.078125,489.7214660644531,324.1109924316406,985.4424438476562,3218.789794921875,9527.5244140625,1715.1962890625,882.5597534179688,2013.4337158203125,11794.32421875,2013.10888671875,601.67431640625,F7
Ab7_cinquillo_Piano_b13.wav,2062.656494140625,509.5798034667969,670.1878662109375,2599.196533203125,989.254150390625,356.7159118652344,914.6216430664062,2175.972900390625,6938.90673828125,1115.279052734375,257.2444763183594,449.0818176269531,Ab7
D7_venda_Piano_9.wav,1027.3460693359375,901.633544921875,2522.254638671875,569.367919921875,1161.364013671875,864.8698120117188,2375.729248046875,1167.1600341796875,2047.29150390625,6680.39453125,1286.4649658203125,411.636474609375,D7
F7_cinquillo_Piano_#11.wav,1835.00830078125,404.784423828125,274.9535827636719,955.1718139648438,2382.125244140625,6583.970703125,1150.501220703125,732.4802856445312,1528.3897705078125,8859.45703125,1534.669921875,698.9348754882812,F7
Eb7_venda_clapping_Piano_9.wav,331.5749816894531,893.32763671875,3066.505126953125,9614.677734375,1645.8931884765625,840.588623046875,1718.0687255859375,10130.7685546875,2065.252685546875,1884.97705078125,10020.5888671875,1581.6041259765625,Eb7
E7_aka_Piano_13_11.wav,1514.7408447265625,3466.664794921875,5126.67041015625,7419.44921875,23149.724609375,3880.920654296875,2618.691650390625,4189.19873046875,24013.033203125,6795.18115234375,1891.1246337890625,4381.59033203125,E7
Bb7_bossa-nova_Piano_b9.wav,440.3271789550781,588.3947143554688,2547.157470703125,745.3505249023438,1330.4478759765625,5314.64697265625,1176.9903564453125,339.5800476074219,1150.4957275390625,4208.23583984375,14684.0615234375,2261.1435546875,Bb7
Bb7_bendir_Piano_13_#11.wav,284.6545715332031,359.1966247558594,1498.3192138671875,502.2270812988281,1032.275146484375,3475.7880859375,838.8483276367188,895.8630981445312,1304.7503662109375,2649.2060546875,8648.5283203125,1313.435546875,Bb7
G7_spanish_tango_Piano_13.wav,517.5790405273438,911.9850463867188,3537.5947265625,789.0443725585938,623.6637573242188,1224.3826904296875,2529.167724609375,7412.283203125,1225.6519775390625,639.002685546875,500.5375061035156,1781.2335205078125,G7
Eb7_spanish_tango_Piano_b13.wav,350.8120422363281,1048.88818359375,2350.185791015625,6631.22119140625,1185.9501953125,636.7695922851562,1410.3306884765625,8670.1748046875,1910.45849609375,1620.1429443359375,8786.3115234375,1615.9940185546875,Eb7
C7_venda_Piano_9.wav,2349.040283203125,606.592041015625,1566.0009765625,931.406494140625,2359.45068359375,1106.8265380859375,1966.1663818359375,6505.20751953125,1373.0047607421875,864.101318359375,3932.645263671875,1312.7117919921875,C7
G7_cinquillo_Piano_#11.wav,593.982421875,1764.3707275390625,3653.7470703125,729.031005859375,268.6515197753906,934.4395141601562,2391.302734375,7440.58056640625,1215.551025390625,600.8665771484375,436.8897705078125,1494.61572265625,G7
Eb7_agsag-samai_Piano_#11.wav,264.3612976074219,794.1840209960938,2464.03076171875,7369.51611328125,1323.18017578125,610.7476196289062,1392.0400390625,8487.919921875,1878.75244140625,2308.82373046875,8021.35205078125,1250.646240234375,Eb7
Ab7_agogo-samba_Piano_9_13.wav,4025.306640625,1053.4376220703125,1388.1905517578125,5527.67529296875,1527.8671875,1728.15234375,2611.001953125,4177.01416015625,12717.4521484375,3610.474853515625,10889.87890625,2341.461181640625,Ab7
D7_spanish_tango_Piano_b13.wav,1419.62548828125,910.1162109375,2270.497802734375,507.6379699707031,980.659912109375,843.8677368164062,2135.875732421875,1194.1051025390625,2027.8621826171875,7320.22216796875,3697.4453125,772.1506958007812,D7
E7_al-saghil-al-sani_Piano_9.wav,412.878173828125,441.09765625,1416.11328125,2573.226806640625,7491.48876953125,1278.3135986328125,1076.3184814453125,1502.00830078125,8506.2822265625,1836.8006591796875,550.1109619140625,1494.5096435546875,E7
G7_aka_upper_sangha_Piano_9.wav,1444.86328125,3082.148681640625,13752.3427734375,2730.650146484375,1204.6510009765625,4985.04345703125,7499.984375,22964.708984375,4069.0517578125,5297.39794921875,2129.179443359375,4224.12890625,G7
